file,overhead,unrecovered,run
0022-xlsx.xlsx_raptor_dist_rs4_nc6177.fasta,3,5026,2
0022-xlsx.xlsx_raptor_dist_rs2_nc5640.fasta,3,2718,3
0022-xlsx.xlsx_raptor_dist_rs4_nc6177.fasta,12,5490,3
0022-xlsx.xlsx_raptor_dist_rs2_nc5640.fasta,6,4701,4
0022-xlsx.xlsx_raptor_dist_rs4_nc6177.fasta,10,5193,4
0040-txt.txt_raptor_dist_rs3_nc20.fasta,4,16,0
0040-txt.txt_raptor_dist_rs3_nc20.fasta,0,0,1
0040-txt.txt_raptor_dist_rs3_nc20.fasta,0,0,2
0040-txt.txt_raptor_dist_rs3_nc20.fasta,1,14,3
0040-txt.txt_raptor_dist_rs3_nc20.fasta,7,14,4
0042-txt.txt_raptor_dist_rs4_nc103.fasta,3,37,0
0042-txt.txt_raptor_dist_rs4_nc103.fasta,1,35,1
0042-txt.txt_raptor_dist_rs4_nc103.fasta,2,56,2
0042-txt.txt_raptor_dist_rs4_nc103.fasta,0,0,3
0042-txt.txt_raptor_dist_rs4_nc103.fasta,1,48,4
0023-xlsx.xlsx_bmp_low_entropy_evo_dist_rs2_nc578.fasta,0,0,0
0023-xlsx.xlsx_bmp_low_entropy_evo_dist_rs2_nc578.fasta,0,0,1
0023-xlsx.xlsx_bmp_low_entropy_evo_dist_rs2_nc578.fasta,1,435,2
0023-xlsx.xlsx_bmp_low_entropy_evo_dist_rs2_nc578.fasta,0,0,3
0023-xlsx.xlsx_bmp_low_entropy_evo_dist_rs2_nc578.fasta,1,431,4
0024-xlsx.xlsx_raptor_dist_rs3_nc681.fasta,1,382,0
0024-xlsx.xlsx_raptor_dist_rs3_nc681.fasta,4,510,1
0024-xlsx.xlsx_raptor_dist_rs3_nc681.fasta,2,260,2
0024-xlsx.xlsx_raptor_dist_rs3_nc681.fasta,1,374,3
0024-xlsx.xlsx_raptor_dist_rs3_nc681.fasta,1,406,4
0030-zip-highcompress.zip_raptor_dist_rs2_nc6973.fasta,4,4924,0
0030-zip-highcompress.zip_raptor_dist_rs4_nc7637.fasta,7,7194,0
0030-zip-highcompress.zip_raptor_dist_rs2_nc6973.fasta,4,5947,1
0030-zip-highcompress.zip_raptor_dist_rs4_nc7637.fasta,10,6856,1
0030-zip-highcompress.zip_raptor_dist_rs2_nc6973.fasta,4,4884,2
0030-zip-highcompress.zip_raptor_dist_rs2_nc6973.fasta,7,6108,3
0030-zip-highcompress.zip_raptor_dist_rs4_nc7637.fasta,3,4762,2
0030-zip-highcompress.zip_raptor_dist_rs2_nc6973.fasta,6,4775,4
0030-zip-highcompress.zip_raptor_dist_rs4_nc7637.fasta,6,6575,3
0030-zip-highcompress.zip_raptor_dist_rs4_nc7637.fasta,8,5807,4
0041-txt.txt_raptor_dist_rs4_nc13.fasta,1,7,0
0041-txt.txt_raptor_dist_rs4_nc13.fasta,1,7,1
0041-txt.txt_raptor_dist_rs4_nc13.fasta,0,0,2
0041-txt.txt_raptor_dist_rs4_nc13.fasta,0,0,3
0041-txt.txt_raptor_dist_rs4_nc13.fasta,2,10,4
0042-txt.txt_raptor_dist_rs3_nc98.fasta,3,83,0
0042-txt.txt_raptor_dist_rs3_nc98.fasta,2,46,1
0042-txt.txt_raptor_dist_rs3_nc98.fasta,1,38,2
0042-txt.txt_raptor_dist_rs3_nc98.fasta,4,56,3
0042-txt.txt_raptor_dist_rs3_nc98.fasta,0,0,4
0043-txt.txt_raptor_dist_rs2_nc69.fasta,1,31,0
0043-txt.txt_raptor_dist_rs2_nc69.fasta,1,33,1
0043-txt.txt_raptor_dist_rs2_nc69.fasta,1,37,2
0043-txt.txt_raptor_dist_rs2_nc69.fasta,4,53,3
0043-txt.txt_raptor_dist_rs2_nc69.fasta,0,0,4
0043-txt.txt_raptor_dist_rs4_nc76.fasta,0,0,0
0043-txt.txt_raptor_dist_rs4_nc76.fasta,4,64,1
0043-txt.txt_raptor_dist_rs4_nc76.fasta,0,0,2
0043-txt.txt_raptor_dist_rs4_nc76.fasta,3,73,3
0043-txt.txt_raptor_dist_rs4_nc76.fasta,1,34,4
0044-txt.txt_raptor_dist_rs2_nc28.fasta,2,21,0
0044-txt.txt_raptor_dist_rs2_nc28.fasta,5,17,1
0044-txt.txt_raptor_dist_rs2_nc28.fasta,1,14,2
0044-txt.txt_raptor_dist_rs2_nc28.fasta,5,21,3
0044-txt.txt_raptor_dist_rs2_nc28.fasta,1,14,4
0041-txt.txt_raptor_dist_rs3_nc12.fasta,0,0,0
0041-txt.txt_raptor_dist_rs3_nc12.fasta,3,8,1
0041-txt.txt_raptor_dist_rs3_nc12.fasta,2,8,2
0041-txt.txt_raptor_dist_rs3_nc12.fasta,1,4,3
0041-txt.txt_raptor_dist_rs3_nc12.fasta,2,9,4
0040-txt.txt_raptor_dist_rs4_nc21.fasta,0,0,0
0040-txt.txt_raptor_dist_rs4_nc21.fasta,4,15,1
0040-txt.txt_raptor_dist_rs4_nc21.fasta,5,12,2
0040-txt.txt_raptor_dist_rs4_nc21.fasta,0,0,3
0040-txt.txt_raptor_dist_rs4_nc21.fasta,1,11,4
0044-txt.txt_raptor_dist_rs3_nc29.fasta,0,0,0
0044-txt.txt_raptor_dist_rs3_nc29.fasta,0,0,1
0044-txt.txt_raptor_dist_rs3_nc29.fasta,1,17,2
0044-txt.txt_raptor_dist_rs3_nc29.fasta,0,0,3
0040-txt.txt_bmp_low_entropy_evo_dist_rs2_nc19.fasta,7,18,0
0044-txt.txt_raptor_dist_rs3_nc29.fasta,2,23,4
0040-txt.txt_bmp_low_entropy_evo_dist_rs2_nc19.fasta,14,18,1
