overhead,unrecovered,run,Method,RS,#Chunks,File
3,21,4,Raptor (baseline),4,21,0040-txt.txt
2,18,0,High Entropy - evo,2,28,0044-txt.txt
3,11,1,High Entropy - evo,2,28,0044-txt.txt
1,15,2,High Entropy - evo,2,28,0044-txt.txt
5,24,3,High Entropy - evo,2,28,0044-txt.txt
3,12,4,High Entropy - evo,2,28,0044-txt.txt
0,0,0,Raptor (baseline),2,28,0044-txt.txt
1,17,1,Raptor (baseline),2,28,0044-txt.txt
1,11,2,Raptor (baseline),2,28,0044-txt.txt
3,23,3,Raptor (baseline),2,28,0044-txt.txt
3,10,4,Raptor (baseline),2,28,0044-txt.txt
0,0,0,High Entropy - evo,3,29,0044-txt.txt
2,22,1,High Entropy - evo,3,29,0044-txt.txt
0,0,2,High Entropy - evo,3,29,0044-txt.txt
0,0,3,High Entropy - evo,3,29,0044-txt.txt
2,16,4,High Entropy - evo,3,29,0044-txt.txt
0,0,0,Raptor (baseline),3,29,0044-txt.txt
1,14,1,Raptor (baseline),3,29,0044-txt.txt
0,0,2,Raptor (baseline),3,29,0044-txt.txt
1,19,3,Raptor (baseline),3,29,0044-txt.txt
1,14,4,Raptor (baseline),3,29,0044-txt.txt
2,23,0,Raptor (baseline),4,30,0044-txt.txt
3,25,1,Raptor (baseline),4,30,0044-txt.txt
2,17,2,Raptor (baseline),4,30,0044-txt.txt
2,24,3,Raptor (baseline),4,30,0044-txt.txt
1,14,4,Raptor (baseline),4,30,0044-txt.txt
2,11,0,High Entropy - evo,4,30,0044-txt.txt
2,13,1,High Entropy - evo,4,30,0044-txt.txt
0,0,2,High Entropy - evo,4,30,0044-txt.txt
0,0,3,High Entropy - evo,4,30,0044-txt.txt
0,0,4,High Entropy - evo,4,30,0044-txt.txt
1,31,0,High Entropy - evo,2,69,0043-txt.txt
5,36,1,High Entropy - evo,2,69,0043-txt.txt
1,37,2,High Entropy - evo,2,69,0043-txt.txt
0,0,3,High Entropy - evo,2,69,0043-txt.txt
0,0,4,High Entropy - evo,2,69,0043-txt.txt
1,47,0,Raptor (baseline),2,69,0043-txt.txt
5,57,1,Raptor (baseline),2,69,0043-txt.txt
2,54,2,Raptor (baseline),2,69,0043-txt.txt
1,43,3,Raptor (baseline),2,69,0043-txt.txt
0,0,4,Raptor (baseline),2,69,0043-txt.txt
2,33,0,Raptor (baseline),3,72,0043-txt.txt
3,53,1,Raptor (baseline),3,72,0043-txt.txt
1,28,2,Raptor (baseline),3,72,0043-txt.txt
2,47,3,Raptor (baseline),3,72,0043-txt.txt
0,0,4,Raptor (baseline),3,72,0043-txt.txt
